# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	352855
#@/user_id	5ccb50a0-6ba1-4de8-9045-d7436d20e87a
a 	啊	c=5862 d=5.05529 t=352657
zhai chao 	摘抄	c=1 d=1 t=90777
zhai diao 	摘掉	c=7 d=1 t=137377
zhai le 	摘了	c=2 d=1 t=338211
zhai wu 	債務	c=5 d=1 t=35018
zhai xia lai 	摘下來	c=2 d=1 t=117134
zhai yao 	摘要	c=2 d=1 t=248100
zhan 	佔	c=21 d=1 t=340014
zhan 	棧	c=2 d=1 t=265536
zhan 	沾	c=2 d=1 t=78595
zhan 	站	c=27 d=1 t=337302
zhan 	粘	c=1 d=1 t=301681
zhan 	詹	c=1 d=1 t=11962
zhan bi 	佔比	c=24 d=1 t=341787
zhan bian 	沾邊	c=1 d=1 t=324929
zhan chang 	戰場	c=0 d=0.1 t=151784
zhan chang zi 	戰場子	c=1 d=1 t=151785
zhan di 	佔地	c=3 d=1 t=216920
zhan dou li 	戰鬥力	c=1 d=1 t=277604
zhan dui 	戰隊	c=3 d=1.94176 t=294969
zhan guan 	展館	c=2 d=1.94176 t=232845
zhan hao 	站好	c=4 d=1 t=345153
zhan hui 	展會	c=11 d=1.00267 t=255580
zhan ji 	戰績	c=1 d=1 t=842
zhan jiang 	蘸醬	c=1 d=1 t=147734
zhan jun 	粘菌	c=1 d=1 t=177276
zhan kai 	展開	c=4 d=1 t=326934
zhan lan 	湛藍	c=27 d=1 t=214611
zhan li 	站立	c=0 d=0.1 t=44582
zhan li hui 	站立會	c=1 d=1 t=44583
zhan ling 	佔領	c=1 d=1 t=351009
zhan lve 	戰略	c=3 d=1.21438 t=267073
zhan ma 	戰馬	c=1 d=1 t=190414
zhan mu si 	詹姆斯	c=2 d=1.8825 t=186790
zhan ni 	佔你	c=1 d=1 t=208089
zhan pi an 	佔皮按	c=1 d=1 t=15963
zhan pin 	展品	c=1 d=1 t=227923
zhan shang 	沾上	c=3 d=1 t=327012
zhan shang 	站上	c=0 d=0.1 t=1792
zhan shen 	戰神	c=1 d=1 t=111907
zhan shi 	展示	c=132 d=1.23605 t=331902
zhan shi 	戰士	c=1 d=1 t=316509
zhan shi de 	展示的	c=1 d=1 t=28352
zhan shi ma 	展示嗎	c=1 d=1 t=22622
zhan wai 	站外	c=1 d=1 t=204161
zhan wang 	展望	c=1 d=1 t=263366
zhan wang 	站網	c=1 d=1 t=230827
zhan wei fu 	佔位符	c=1 d=1 t=258306
zhan xian 	展現	c=9 d=1 t=232242
zhan yang 	瞻仰	c=1 d=1 t=303562
zhan yang zhan yang 	瞻仰瞻仰	c=2 d=1.96561 t=174989
zhan yong 	佔用	c=5 d=1 t=337059
zhan you 	佔有	c=1 d=1 t=314185
zhan you lv 	佔有率	c=1 d=1 t=25578
zhan zai 	粘在	c=1 d=1 t=327247
zhan zhang 	站長	c=1 d=1 t=122652
zhan zheng 	戰爭	c=1 d=1 t=164508
zhang 	帳	c=4 d=1 t=349713
zhang 	張	c=45 d=1 t=352156
zhang 	掌	c=4 d=1 t=324369
zhang 	樟	c=4 d=1 t=218286
zhang 	漲	c=38 d=1 t=326038
zhang 	章	c=99 d=2.15655 t=351120
zhang 	長	c=15 d=1.96561 t=347213
zhang a hong 	張阿訇	c=4 d=1 t=304824
zhang ai 	障礙	c=1 d=1 t=102925
zhang bei 	長輩	c=1 d=1 t=125375
zhang chang 	張敞	c=1 d=1 t=107794
zhang cheng 	章程	c=17 d=2.19864 t=133267
zhang cheng 	長成	c=1 d=1 t=328576
zhang da 	長大	c=0 d=0.1 t=304876
zhang da le 	長大了	c=1 d=1 t=304877
zhang dan 	賬單	c=2 d=1 t=224227
zhang de 	長得	c=6 d=1 t=283275
zhang de bu hao kan 	長得不好看	c=1 d=1 t=114635
zhang guan 	掌管	c=1 d=1 t=337634
zhang ha 	張哈	c=10 d=1.00019 t=298894
zhang hai 	張海	c=3 d=1 t=325059
zhang hao 	帳號	c=519 d=3.49488 t=352412
zhang hao de 	帳號的	c=1 d=1 t=47477
zhang hao e le 	帳號餓了	c=1 d=1 t=47579
zhang hao gei ni 	帳號給你	c=1 d=1 t=105587
zhang hao gei wo 	帳號給我	c=2 d=1 t=320027
zhang hao guan li 	帳號管理	c=1 d=1 t=306244
zhang hao hai mei 	帳號還沒	c=1 d=1 t=141208
zhang hao he 	帳號和	c=2 d=1 t=278173
zhang hao jiu 	帳號就	c=1 d=1 t=194783
zhang hao li mian 	帳號裏面	c=1 d=1 t=279955
zhang hao ma 	帳號嗎	c=2 d=1 t=172255
zhang hao mi ma 	帳號密碼	c=1 d=1 t=143351
zhang hao neng 	帳號能	c=1 d=1 t=253859
zhang hao shi 	帳號是	c=1 d=1 t=326433
zhang hao xia lai de 	帳號下來的	c=1 d=1 t=130082
zhang hao yi jing mei you 	帳號已經沒有	c=1 d=1 t=120668
zhang hao you 	帳號有	c=1 d=1 t=296999
zhang hu 	賬戶	c=85 d=1.88696 t=352414
zhang hu ming 	賬戶明	c=1 d=1 t=44919
zhang ji 	掌機	c=1 d=1 t=296259
zhang jia 	漲價	c=6 d=1.86502 t=349564
zhang jia ai 	漲價哎	c=1 d=1 t=56351
zhang jiu 	掌就	c=1 d=1 t=309592
zhang lang 	蟑螂	c=5 d=1 t=120110
zhang le 	漲了	c=1 d=1 t=176670
zhang le 	長了	c=3 d=1 t=331177
zhang mei 	張梅	c=33 d=1 t=334153
zhang mei cong 	張梅從	c=1 d=1 t=243651
zhang mei zong 	張梅總	c=8 d=1 t=216605
zhang mu niang 	丈母娘	c=2 d=1.9802 t=260055
zhang qi 	瘴氣	c=2 d=1.93239 t=225710
zhang rou 	長肉	c=3 d=1 t=185045
zhang san 	張三	c=3 d=2.75935 t=317304
zhang shang 	掌上	c=1 d=1 t=99324
zhang wo 	掌握	c=1 d=1 t=97230
zhang yi zhi 	長一智	c=1 d=1 t=58756
zhang zui 	張嘴	c=2 d=1 t=328324
zhao 	找	c=256 d=1.08374 t=351891
zhao 	招	c=20 d=1.56836 t=338052
zhao 	昭	c=1 d=1 t=268217
zhao 	照	c=8 d=1 t=330964
zhao 	着	c=12 d=1 t=345430
zhao 	趙	c=211 d=1 t=350716
zhao 	釗	c=1 d=1 t=351783
zhao ban 	照搬	c=1 d=1 t=268093
zhao ben xuan ke 	照本宣科	c=1 d=1 t=96161
zhao biao 	招標	c=2 d=1 t=290200
zhao bu dao 	找不到	c=26 d=1 t=326009
zhao bu dao le 	找不到了	c=2 d=1 t=165488
zhao cai shen 	找財神	c=3 d=1 t=126579
zhao chu lai 	找出來	c=1 d=1 t=209522
zhao da 	找打	c=3 d=0.1 t=326126
zhao da le 	找打了	c=1 d=1 t=326127
zhao da pei 	找搭配	c=1 d=1 t=275513
zhao da yao 	找大姚	c=1 d=1 t=92537
zhao dai 	招待	c=1 d=1 t=179798
zhao dao 	找到	c=107 d=1 t=344857
zhao dao 	招到	c=1 d=1 t=239532
zhao dao ji ge 	找到幾個	c=1 d=1 t=206015
zhao dao le 	找到了	c=10 d=1 t=307029
zhao dao ma 	找到嗎	c=1 d=1 t=24179
zhao de 	找的	c=17 d=1.00395 t=316575
zhao dian 	找點	c=6 d=2.54999 t=189848
zhao dian shi 	找點事	c=1 d=1 t=87877
zhao dong 	肇東	c=1 d=1 t=125431
zhao ge 	找個	c=85 d=1 t=352080
zhao ge ren 	找個人	c=1 d=1 t=151809
zhao ge shi jian 	找個時間	c=1 d=1 t=17289
zhao ge shi you 	找個事由	c=1 d=1 t=198640
zhao gong zuo 	找工作	c=6 d=1 t=327066
zhao gu 	照顧	c=1 d=1 t=147500
zhao gu hao 	照顧好	c=1 d=1 t=2639
zhao guang sen 	找廣森	c=1 d=1 t=204112
zhao guo 	找過	c=10 d=1 t=298520
zhao guo ge 	找過個	c=1 d=1 t=57234
zhao guo lai 	找過來	c=3 d=1.01391 t=220915
zhao guo wo 	找過我	c=2 d=1 t=154079
zhao hai o 	找還哦	c=1 d=1 t=48371
zhao hang 	招行	c=5 d=1.89137 t=334266
zhao hao 	找好	c=2 d=1 t=257004
zhao hei yu 	找黑魚	c=1 d=1 t=331549
zhao hu 	招呼	c=4 d=1 t=236603
zhao huan 	召喚	c=3 d=1 t=28908
zhao hui 	找回	c=13 d=2.46275 t=299170
zhao hui la 	找回拉	c=1 d=1 t=201421
zhao hui lai 	找回來	c=1 d=1 t=323334
zhao hun 	招魂	c=1 d=1 t=268021
zhao ji 	召集	c=1 d=1 t=127955
zhao ji 	着急	c=46 d=1.00161 t=352254
zhao ji de 	着急的	c=1 d=1 t=56825
zhao jie 	趙姐	c=1 d=1 t=333080
zhao jing li 	趙經理	c=1 d=1 t=47286
zhao kuai di 	找快遞	c=1 d=1 t=175954
zhao lai 	找來	c=3 d=1.01133 t=336253
zhao lai 	招來	c=1 d=1 t=239592
zhao lai gen ni 	找來跟你	c=1 d=1 t=13453
zhao le 	找了	c=24 d=1 t=348643
zhao le 	招了	c=3 d=1 t=304046
zhao le ge 	找了個	c=1 d=1 t=125277
zhao liang 	照亮	c=1 d=1 t=223205
zhao liang 	着涼	c=4 d=1.00011 t=208442
zhao liang le 	着涼了	c=2 d=1 t=176745
zhao mu 	招募	c=7 d=1.12687 t=285198
zhao ni 	找你	c=69 d=1.07294 t=340848
zhao ni men 	找你們	c=3 d=1 t=205534
zhao pi ao bu neng 	找皮襖不能	c=1 d=1 t=57573
zhao pian 	照片	c=67 d=1.00227 t=347138
zhao pian jiu xing 	照片就行	c=1 d=1 t=60112
zhao pian ma 	照片嗎	c=1 d=1 t=51159
zhao pian shang 	照片上	c=1 d=1 t=27181
zhao pian zui hao 	照片最好	c=1 d=1 t=119869
zhao pin 	招聘	c=65 d=1 t=346185
zhao pin ji hua 	招聘計劃	c=1 d=1 t=191696
zhao ping 	找平	c=1 d=1 t=137019
zhao qi 	找起	c=1 d=1 t=51484
zhao ren 	找人	c=4 d=1 t=335179
zhao ren 	招人	c=20 d=1 t=351553
zhao shang 	招商	c=12 d=1 t=328798
zhao shao ji pai 	照燒雞派	c=1 d=1 t=79959
zhao shei 	找誰	c=16 d=1 t=339145
zhao sheng 	招生	c=1 d=1 t=287659
zhao shi 	找事	c=5 d=1 t=286900
zhao shi jian 	找時間	c=2 d=1 t=144824
zhao shou 	着手	c=1 d=1 t=58099
zhao ta 	找他	c=9 d=1 t=343088
zhao ta men 	找他們	c=4 d=1 t=339575
zhao wo 	找我	c=64 d=1.72615 t=342070
zhao wo men 	找我們	c=5 d=1 t=307321
zhao wo qu o 	趙我去哦	c=1 d=1 t=275894
zhao xi 	朝夕	c=1 d=1 t=122214
zhao xia 	朝霞	c=5 d=1 t=181194
zhao xian ai 	找腺癌	c=1 d=1 t=123868
zhao xiang 	照相	c=1 d=1 t=40331
zhao xiang 	着想	c=1 d=0.76365 t=4576
zhao yang 	照樣	c=2 d=1 t=167484
zhao yao zhuang pian 	招搖撞騙	c=1 d=1 t=171123
zhao yi ge 	找一個	c=1 d=1 t=304313
zhao zan lai 	找讚來	c=1 d=1 t=151503
zhao ze 	沼澤	c=15 d=1 t=337911
zhao zhao 	找找	c=66 d=1.01463 t=344822
zhao zhao kan 	找找看	c=1 d=1 t=137667
zhao zhe 	照着	c=24 d=0.1 t=336013
zhao zhe ge 	找這個	c=1 d=1 t=57668
zhao zhe lai 	照着來	c=1 d=1 t=336014
zhao zhou 	肇州	c=1 d=1 t=139897
zhao zong 	趙總	c=1 d=1 t=80906
zhe 	哲	c=7 d=5.06728 t=335605
zhe 	喆	c=3 d=1.76721 t=176189
zhe 	着	c=111 d=1.06266 t=351919
zhe 	者	c=41 d=1 t=327896
zhe 	轍	c=4 d=1 t=349465
zhe 	這	c=1320 d=2.48636 t=352515
zhe ban ben 	這版本	c=1 d=1 t=88641
zhe ban nian 	這半年	c=2 d=1 t=287722
zhe bang 	這幫	c=2 d=0.1 t=198197
zhe bang ren 	這幫人	c=1 d=1 t=198198
zhe bi 	這筆	c=9 d=1 t=329231
zhe bian 	這邊	c=239 d=1.00242 t=352696
zhe bian de 	這邊的	c=1 d=1 t=301531
zhe bian dei 	這邊得	c=1 d=1 t=171899
zhe biao qing 	這表情	c=1 d=1 t=27209
zhe bing du 	這病毒	c=1 d=1 t=326993
zhe bu 	這不	c=14 d=1.00013 t=335256
zhe bu 	這部	c=0 d=0.1 t=29103
zhe bu cheng le 	這不成了	c=1 d=1 t=286172
zhe bu dei 	這不得	c=9 d=1 t=284134
zhe bu dou 	這部都	c=1 d=1 t=29104
zhe bu dou shi 	這不都是	c=1 d=1 t=93034
zhe bu fen 	這部分	c=20 d=1 t=332204
zhe bu hui 	這不會	c=1 d=1 t=4929
zhe bu jiu 	這不就	c=1 d=1 t=314681
zhe bu jiu shi 	這不就是	c=1 d=1 t=285454
zhe bu ke neng 	這不可能	c=1 d=1 t=313398
zhe bu neng 	這不能	c=1 d=1 t=305885
zhe bu shi 	這不是	c=62 d=1.00004 t=341378
zhe bu suan 	這不算	c=1 d=1 t=269559
zhe cai shi 	這纔是	c=5 d=1 t=175741
zhe ce 	這測	c=1 d=1 t=34802
zhe ci 	這次	c=145 d=1.00454 t=351987
zhe ci qu 	這次去	c=2 d=1 t=239523
zhe ci shi 	這次是	c=2 d=1 t=238915
zhe dang 	遮擋	c=2 d=1.99005 t=170816
zhe dao 	這道	c=1 d=1 t=328870
zhe dao shi 	這倒是	c=6 d=1 t=172683
zhe dei 	這得	c=27 d=1.956 t=327514
zhe dian 	這點	c=16 d=1 t=339233
zhe dian qian 	這點錢	c=1 d=1 t=84323
zhe dian ying 	這電影	c=1 d=1 t=261850
zhe die 	摺疊	c=4 d=1.956 t=239691
zhe dong xi 	這東西	c=3 d=1 t=306703
zhe dou 	這都	c=31 d=1 t=347696
zhe dou shi 	這都是	c=13 d=1 t=319030
zhe dou xing 	這都行	c=2 d=1.00016 t=61798
zhe dou yao qu 	這都要去	c=1 d=1 t=152971
zhe dou you 	這都有	c=1 d=1 t=165193
zhe duan 	這段	c=9 d=1 t=228320
zhe duan shi jian 	這段時間	c=1 d=1 t=86691
zhe dui yu 	這對於	c=1 d=1 t=4482
zhe e 	這餓	c=2 d=0.1 t=288114
zhe fang an 	這方案	c=1 d=1 t=168147
zhe fang mian 	這方面	c=13 d=1 t=327674
zhe fen 	這份	c=4 d=1 t=328094
zhe fu fen 	這福分	c=1 d=1 t=329681
zhe ga 	這噶	c=1 d=1 t=122374
zhe gai 	遮蓋	c=1 d=1 t=128415
zhe gan ma 	這幹嘛	c=1 d=1 t=338133
zhe gang 	這剛	c=1 d=1 t=104361
zhe ge 	這個	c=2446 d=0.524065 t=352783
zhe ge a 	這個啊	c=1 d=1 t=250370
zhe ge ban ben 	這個版本	c=1 d=1 t=257924
zhe ge biao ge 	這個表格	c=1 d=1 t=318850
zhe ge bu fen 	這個部分	c=1 d=1 t=198799
zhe ge bu ju 	這個佈局	c=1 d=1 t=76807
zhe ge bu shi 	這個不是	c=1 d=1 t=162544
zhe ge bu xing 	這個不行	c=1 d=1 t=34569
zhe ge ci 	這個詞	c=1 d=1 t=201992
zhe ge de 	這個的	c=1 d=1 t=327356
zhe ge dei 	這個得	c=4 d=1 t=211075
zhe ge dian 	這個店	c=1 d=1 t=250673
zhe ge dong xi 	這個東西	c=1 d=1 t=72265
zhe ge e 	這個餓	c=1 d=1 t=310536
zhe ge fang xiang 	這個方向	c=1 d=1 t=116518
zhe ge ge 	這個個	c=3 d=1 t=303288
zhe ge gong neng 	這個功能	c=1 d=1 t=299941
zhe ge jie kou 	這個接口	c=1 d=1 t=294293
zhe ge jie lou 	這個姐嘍	c=1 d=1 t=64892
zhe ge ke hu 	這個客戶	c=1 d=1 t=352784
zhe ge lai 	這個來	c=1 d=1 t=273875
zhe ge le 	這個了	c=2 d=1 t=250812
zhe ge li mian 	這個裏面	c=1 d=1 t=260843
zhe ge liu cheng 	這個流程	c=1 d=1 t=147210
zhe ge liu cheng wo 	這個流程我	c=1 d=1 t=123272
zhe ge luo ji 	這個邏輯	c=1 d=1 t=239077
zhe ge mei shi 	這個沒事	c=1 d=1 t=9107
zhe ge meng 	這個夢	c=1 d=1 t=12688
zhe ge mo kuai 	這個模塊	c=1 d=1 t=127422
zhe ge qun 	這個羣	c=1 d=1 t=202887
zhe ge ren 	這個人	c=10 d=1 t=320258
zhe ge rong yi 	這個容易	c=1 d=1 t=66626
zhe ge shang mian 	這個上面	c=1 d=1 t=204603
zhe ge shi 	這個事	c=10 d=1 t=258696
zhe ge shu ju 	這個數據	c=1 d=1 t=192609
zhe ge si lu 	這個思路	c=1 d=1 t=15325
zhe ge tu 	這個圖	c=1 d=1 t=15838
zhe ge wei zhi 	這個位置	c=6 d=1 t=319748
zhe ge wen ti 	這個問題	c=4 d=1 t=301761
zhe ge wo 	這個我	c=1 d=1 t=60489
zhe ge wo ye 	這個我也	c=1 d=1 t=8317
zhe ge yang 	這個楊	c=1 d=1 t=28382
zhe ge you xiang 	這個郵箱	c=1 d=1 t=305952
zhe ge yu 	這個與	c=1 d=1 t=307912
zhe ge yu ming 	這個域名	c=4 d=1 t=125649
zhe ge yue 	這個月	c=23 d=1.00155 t=338979
zhe ge zhen de 	這個真的	c=1 d=1 t=23622
zhe ge zheng 	這個證	c=1 d=1 t=45562
zhe gei 	這給	c=2 d=1 t=242944
zhe gen 	這跟	c=4 d=1 t=275697
zhe gong si 	這公司	c=1 d=1 t=273946
zhe gui ze 	這規則	c=1 d=1 t=283177
zhe hai 	這還	c=12 d=1 t=340434
zhe hai dei 	這還得	c=1 d=1 t=238638
zhe hai shi 	這還是	c=1 d=1 t=72772
zhe hao si 	這好似	c=13 d=1 t=287474
zhe he 	摺合	c=1 d=1 t=63758
zhe he tong 	這合同	c=1 d=1 t=250783
zhe hua 	這話	c=7 d=1 t=317073
zhe hua shuo 	這話說	c=2 d=1 t=294420
zhe hua ti 	這話題	c=1 d=1 t=29904
zhe hui 	這回	c=5 d=1 t=105051
zhe hui 	這會	c=1 d=1 t=127159
zhe ji 	這幾	c=0 d=0.1 t=255414
zhe ji ci 	這幾次	c=1 d=1 t=126017
zhe ji ge 	這幾個	c=35 d=1 t=341494
zhe ji ge wen ti 	這幾個問題	c=1 d=1 t=290613
zhe ji jia 	這幾家	c=2 d=1 t=327864
zhe ji men 	這幾門	c=1 d=1 t=68021
zhe ji nian 	這幾年	c=3 d=1 t=339632
zhe ji tian 	這幾天	c=48 d=1 t=351210
zhe ji tian leng 	這幾天冷	c=1 d=1 t=210053
zhe ji tiao 	這幾條	c=1 d=1 t=318674
zhe ji zhou 	這幾周	c=1 d=1 t=255415
zhe jia 	這家	c=26 d=1 t=341868
zhe jia ai 	這家哎	c=1 d=1 t=192323
zhe jia ge 	這價格	c=2 d=1 t=323423
zhe jian pan 	這鍵盤	c=1 d=1 t=334917
zhe jiang 	浙江	c=2 d=1 t=293118
zhe jiao 	這叫	c=5 d=1 t=330027
zhe jiao zi 	這餃子	c=1 d=1 t=20705
zhe jie mian 	這界面	c=1 d=1 t=290537
zhe jin du 	這進度	c=1 d=1 t=319167
zhe jiu 	折舊	c=3 d=1.9802 t=224964
zhe jiu 	這就	c=32 d=1 t=348965
zhe jiu gen 	這就跟	c=1 d=1 t=191281
zhe jiu shi 	這就是	c=12 d=1 t=313382
zhe jiu shi cha bie 	這就是差別	c=1 d=1 t=307177
zhe jiu suan 	這就算	c=1 d=1 t=269480
zhe ju 	這句	c=3 d=1 t=261630
zhe ju hua 	這句話	c=5 d=1 t=224092
zhe kai 	這開	c=1 d=1 t=154056
zhe ke 	這可	c=3 d=1 t=210765
zhe ke hu 	這客戶	c=1 d=1 t=245578
zhe ke shi 	這可是	c=2 d=1 t=77666
zhe ken ding 	這肯定	c=1 d=1 t=276452
zhe ken ding shi 	這肯定是	c=1 d=1 t=188564
zhe kou 	折扣	c=30 d=1.76786 t=323921
zhe kou 	這口	c=1 d=1 t=175753
zhe kou ka 	折扣卡	c=1 d=1 t=167636
zhe kuai 	這塊	c=137 d=1 t=346507
zhe kuan 	這款	c=11 d=0.1 t=305930
zhe lai 	這來	c=1 d=1 t=148938
zhe lai ge na tian 	這來個哪天	c=1 d=1 t=158701
zhe le 	這了	c=1 d=1 t=317375
zhe lei 	這類	c=2 d=1 t=323710
zhe li 	哲理	c=1 d=1 t=175795
zhe li 	啫喱	c=1 d=1 t=290536
zhe li 	這裏	c=1 d=1 t=175794
zhe li mian 	這裏面	c=28 d=1.00045 t=320056
zhe li mian mei you 	這裏面沒有	c=1 d=1 t=183460
zhe li min a 	這利民啊	c=1 d=1 t=62909
zhe lia 	這倆	c=65 d=1.00241 t=350590
zhe lia ge 	這倆個	c=1 d=1 t=250631
zhe lia min 	這倆民	c=1 d=1 t=308690
zhe lia ren 	這倆人	c=1 d=1 t=239628
zhe lia zi 	這倆子	c=1 d=1 t=180231
zhe lian tian 	這連天	c=1 d=1 t=287277
zhe liang 	這兩	c=2 d=1 t=302502
zhe liang bi 	這量比	c=1 d=1 t=199356
zhe liang bian 	這兩邊	c=1 d=1 t=115863
zhe liang ge 	這兩個	c=21 d=1 t=317701
zhe liang jia 	這兩家	c=2 d=1 t=217631
zhe liang kuai 	這兩塊	c=1 d=1 t=171397
zhe liang kuan 	這兩款	c=1 d=1 t=265797
zhe liang nian 	這兩年	c=5 d=1.00006 t=340460
zhe liang tai 	這兩臺	c=4 d=1 t=295998
zhe liang tian 	這兩天	c=29 d=1 t=335177
zhe liang zhong 	這兩種	c=3 d=1.39259 t=221423
zhe liang zhou 	這兩週	c=3 d=1 t=299609
zhe lie 	這列	c=2 d=1 t=291074
zhe liu cheng 	這流程	c=2 d=1 t=328598
zhe lun 	這輪	c=3 d=1 t=328243
zhe me 	這麼	c=462 d=1.02328 t=352557
zhe me da 	這麼大	c=0 d=0.1 t=87835
zhe me da le 	這麼大了	c=1 d=1 t=87836
zhe me di 	這麼低	c=1 d=1 t=342093
zhe me duo 	這麼多	c=5 d=1 t=196261
zhe me duo nian 	這麼多年	c=1 d=1 t=212673
zhe me gan 	這麼幹	c=1 d=1 t=1646
zhe me gao 	這麼高	c=1 d=1 t=186917
zhe me gao ji 	這麼高級	c=1 d=1 t=352201
zhe me ge 	這麼個	c=8 d=1 t=319897
zhe me ge ren 	這麼個人	c=1 d=1 t=212499
zhe me kuai 	這麼快	c=10 d=1 t=305724
zhe me li jie 	這麼理解	c=1 d=1 t=184945
zhe me lia ren 	這麼倆人	c=1 d=1 t=230543
zhe me ne 	這麼呢	c=1 d=1 t=119930
zhe me shuo 	這麼說	c=2 d=1 t=277533
zhe me suan lai 	這麼算來	c=1 d=1 t=54227
zhe me xiang 	這麼想	c=1 d=1 t=59662
zhe me xie 	這麼些	c=1 d=1 t=232324
zhe me yan zhong 	這麼嚴重	c=1 d=1 t=53037
zhe me yi ge 	這麼一個	c=1 d=1 t=291496
zhe me yi shuo 	這麼一說	c=1 d=1 t=252945
zhe me yuan 	這麼遠	c=1 d=1 t=182980
zhe me zhao 	這麼着	c=0 d=0.1 t=114161
zhe mei wen ti 	這沒問題	c=1 d=1 t=58883
zhe ming zi 	這名字	c=3 d=1 t=313329
zhe mo 	折磨	c=3 d=1 t=212300
zhe mo kuai 	這模塊	c=1 d=1 t=2859
zhe nao zi 	這腦子	c=1 d=1 t=100436
zhe ne 	着呢	c=1 d=0.1 t=25770
zhe ne me 	着呢麼	c=8 d=1 t=80104
zhe ne me le 	着呢麼了	c=1 d=1 t=30329
zhe neng 	這能	c=3 d=1 t=338635
zhe ni 	這你	c=4 d=1 t=340391
zhe nian 	這年	c=1 d=1 t=110747
zhe pian 	這篇	c=2 d=1 t=323137
zhe ping 	這瓶	c=1 d=1 t=197526
zhe qi 	這期	c=13 d=1 t=311143
zhe qi 	這起	c=6 d=1.00003 t=116067
zhe qi jian 	這其間	c=1 d=1 t=36046
zhe qian 	這錢	c=1 d=1 t=326732
zhe que shi 	這確實	c=1 d=1 t=324212
zhe ren 	這人	c=7 d=1 t=340329
zhe ri zi 	這日子	c=2 d=1.9802 t=179041
zhe san 	這三	c=3 d=1 t=349146
zhe san ge 	這三個	c=9 d=1 t=344753
zhe san ge ren 	這三個人	c=1 d=1 t=4776
zhe san kuan 	這三款	c=1 d=1 t=244188
zhe san ren 	這三人	c=1 d=1 t=271043
zhe san shuang 	這三雙	c=1 d=1 t=162190
zhe shang mian 	這上面	c=3 d=1 t=148108
zhe she ji 	這設計	c=1 d=1 t=323290
zhe shei 	這誰	c=2 d=1 t=328936
zhe shi 	這事	c=31 d=1.15882 t=351398
zhe shi 	這是	c=564 d=1.74143 t=351719
zhe shi bu shi 	這是不是	c=3 d=1 t=205879
zhe shi ge 	這是個	c=9 d=1 t=345747
zhe shi gen 	這是跟	c=1 d=1 t=67823
zhe shi hou 	這時候	c=7 d=1.00011 t=329298
zhe shi jian 	這時間	c=1 d=1 t=308720
zhe shi na 	這是哪	c=1 d=1 t=20132
zhe shi pin 	這視頻	c=1 d=1 t=299251
zhe shi sha 	這是啥	c=3 d=1 t=187158
zhe shi wo 	這是我	c=2 d=1 t=340465
zhe shi wo men 	這是我們	c=1 d=1 t=249907
zhe shi xin de 	這是新的	c=1 d=1 t=302284
zhe shi yao 	這是要	c=1 d=1 t=274964
zhe shi zhe yang 	這是這樣	c=1 d=1 t=51955
zhe shou 	這首	c=1 d=1 t=91484
zhe shu 	這書	c=1 d=1 t=348031
zhe shu ju 	這數據	c=6 d=1 t=323741
zhe shu zi 	這數字	c=1 d=1 t=108817
zhe si kuan 	這四款	c=1 d=1 t=266058
zhe su du 	這速度	c=1 d=1 t=49861
zhe suan 	這算	c=3 d=1 t=245749
zhe suan shi 	這算是	c=3 d=1 t=188462
zhe tai 	這太	c=3 d=1 t=350994
zhe tai 	這臺	c=21 d=1.15406 t=344661
zhe tao 	這套	c=7 d=1 t=328519
zhe teng 	折騰	c=25 d=1.00006 t=340646
zhe teng ba 	折騰吧	c=1 d=1 t=94086
zhe teng ren 	折騰人	c=1 d=1 t=41748
zhe ti 	摺梯	c=0 d=0.1 t=324434
zhe ti a 	摺梯啊	c=1 d=1 t=324435
zhe tian 	這天	c=2 d=1.04097 t=289851
zhe tiao 	這條	c=18 d=1.93707 t=324436
zhe wan yi er 	這玩意兒	c=12 d=1 t=326343
zhe wang zhan 	這網站	c=7 d=1 t=326179
zhe wen dang 	這文檔	c=1 d=1 t=174888
zhe wen du 	這溫度	c=1 d=1 t=73342
zhe wo 	這我	c=3 d=1 t=341995
zhe wo ke 	這我可	c=1 d=1 t=83701
zhe xi 	浙西	c=1 d=1 t=213867
zhe xia 	這下	c=1 d=1 t=14998
zhe xian ei 	這先誒	c=1 d=1 t=324196
zhe xiao cheng xu 	這小程序	c=1 d=1 t=740
zhe xie 	這些	c=239 d=2.25729 t=347893
zhe xie dian wu 	這些店務	c=1 d=1 t=215246
zhe xie ren 	這些人	c=14 d=1 t=212271
zhe xie sheng huo shang 	這些生活上	c=1 d=1 t=37483
zhe xie shi 	這些事	c=4 d=1 t=163729
zhe xie wen ti 	這些問題	c=1 d=1 t=124917
zhe xing 	折行	c=1 d=1 t=325141
zhe xu qiu 	這需求	c=1 d=1 t=248148
zhe xue fei 	這學費	c=1 d=1 t=272694
zhe yan 	遮掩	c=5 d=1 t=309872
zhe yang 	這樣	c=368 d=1.00004 t=352403
zhe yang a 	這樣啊	c=3 d=1 t=206884
zhe yang ba 	這樣吧	c=6 d=1 t=326854
zhe yang bi jiao 	這樣比較	c=1 d=1 t=106952
zhe yang bu xing 	這樣不行	c=1 d=1 t=312428
zhe yang de 	這樣的	c=14 d=1 t=321709
zhe yang gai 	這樣改	c=4 d=1 t=321462
zhe yang he zuo 	這樣合作	c=1 d=1 t=169047
